"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"vida";1,04;0;1,67;0,61;0,58;1,51;1,23;0,92;1,02;1,42;0,91
"história";1,04;4,63;1,94;2,15;2,31;2,8;2,58;1,64;2,78;3,2;1,78
"causar";0,52;0;0,28;0;0;0,32;0,22;0,31;0,61;0,68;0,15
"impacto";0,52;0;0,56;0,92;0,58;0,32;0,79;0,1;0,61;0,55;1,52
"profundo";1,04;0;0;0,92;0;0,22;0,34;0,1;0,07;0,04;0,1
"cotidiano";0,52;0;0,56;0;0,19;0,32;0,56;0,1;0,68;0,85;0,41
"dar";1,56;0;0,83;0,31;0,19;0,43;0,67;0,82;0,61;0,42;0,86
"pensar";2,08;0;1,94;0;1,93;0,43;0,56;0,51;0,54;0,17;0,05
"ação";1,04;4,63;0;0,92;0,77;0,54;0,56;1,54;1,29;0,81;0,61
"mediação";1,56;2,32;0,28;0;0;0;0,22;0,1;0,2;0,18;0,2
"particularidade";1,04;0;0;0;0;0;0,45;0,1;0;0,04;0,05
"território";1,04;0;0;0,31;0,58;0,11;0,22;0,1;0;0,13;0,1
"híbrido";0,52;0;0;0;0,19;0;0;0,31;0,34;0,06;0,25
"analisar";2,08;0;1,94;2,76;1,35;0,97;1,46;2,05;1,9;1,86;2,84
"mudança";1,04;1,16;0;0,92;0,39;0,43;0,79;0,72;1,22;0,9;0,86
"informacional";0,52;0;0,28;0,61;2,12;0,22;0,9;0,31;0,47;0,04;0,25
"contemporâneo";1,04;0;1,39;0;0,58;0,75;1,01;1,03;0,27;0,28;0,96
"compreender";1,04;1,16;0,28;1,53;1,16;0,65;0;0,31;0,68;1,73;1,22
"aspecto";1,04;0;1,11;1,84;0,39;1,51;0,79;0,82;0,61;0,81;0,66
"mapear";0,52;0;0;0;0,19;0,11;0,34;0;0,14;0,11;0,05
"algum";0,52;1,16;1,11;1,23;0,58;0,32;0,67;0,41;0,68;0,48;0,36
"envolver";1,04;1,16;1,11;1,23;1,74;1,08;0,56;0,51;0,68;0,2;0,56
"questão";1,04;1,16;2,5;1,84;1,54;1,4;1,12;1,33;0,68;0,81;1,01
"discutir";1,56;2,32;1,11;2,15;1,35;0,75;0,67;1,13;1,22;0,52;1,22
"campo";2,08;3,48;1,11;3,68;4,24;2,04;3,14;0,92;1,22;1,45;1,01
"mídia";1,04;2,32;0,56;0,92;0,19;0,22;0,56;1,85;0,81;0,7;1,01
"bibliográfico";0,52;0;0,28;0,61;0,96;0,32;0,45;0,41;1,56;1,73;1,98
"observação";0,52;0;0,28;0,61;0,58;0,11;0,11;0,21;0,14;0,24;0,1
"clássico";0,52;0;0;0,31;0;0,22;0,11;0,1;0;0,11;0
"temática";0,52;0;1,11;0;0,58;0,43;0,45;0,92;0,34;0,55;0,51
"conclusão";0,52;1,16;0,28;0;0,19;0,32;0,11;0,41;0,27;0,24;0,56
"entre";4,68;4,63;4,16;3,99;1,93;3,87;2,8;5,02;2,64;2,17;3,35
"tornar";1,56;0;0,56;0,31;1,16;0,54;0,79;0,1;0,81;1,57;1,37
"cada";1,04;0;2,5;0;0,39;0,75;0,34;0,92;0,61;0,66;0,81
"vez";1,04;0;2,5;0,61;0,39;1,08;1,01;0,92;0,75;0,61;0,66
"evidência";0,52;0;0;0,31;0,39;0;0,11;0;0,07;0,26;0,1
"embora";0,52;1,16;0,28;0;0,19;0;0,56;0;0,07;0,07;0,71
"ainda";1,04;2,32;0,28;1,84;0,77;0,86;1,01;0,82;0,68;0,64;1,27
"surgir";0,52;0;0;0;0,58;0,22;0,11;0,31;0,27;0,77;0,1
"interdisciplinar";0,52;2,32;0;0,31;0,77;0,43;0,67;0,1;0,27;0,09;0,2
"decorrente";0,52;0;0;0;0,77;0,22;0;0;0,14;0,15;0,05
"unidade";0,52;2,32;0,28;0;0;0,22;0,11;0;0;0,31;0,15
"luta";0,52;0;0;0,31;0;0,11;0,22;0;0,07;0,06;0,1
"partir";2,08;3,48;2,78;2,76;2,89;1,4;2,24;3,08;2,57;1,71;2,69
"múltiplo";0,52;0;0,28;0,31;0;0,22;0,34;0,31;0,27;0,2;0,1
"estratégia";0,52;0;0,83;0;0,19;0,43;0,56;1,23;0,88;0,64;1,72
"ampliar";0,52;0;1,11;0;0;0,22;0,45;0,41;0,47;0,41;0,41
"participação";1,04;0;0,28;0;0;0,43;0,11;0,21;0,68;0,28;0,61
"feminino";2,6;0;0;0;0;0;0;0,31;0,07;0,02;0,1
"garantir";0,52;0;0;0;0;0,22;0,34;0;0,41;0,29;0,51
"texto";1,56;5,79;1,94;1,84;0,77;2,15;1,35;1,44;1,22;2,36;0,91
"durante";0,52;0;0,83;0,31;0,19;0,32;0,34;0,31;0,34;0,83;0,66
"século";1,04;0;1,11;0,92;0,39;0,32;0,9;0,41;0,34;0,53;0,66
"xix";0,52;0;0,56;0;0,19;0,11;0,22;0,21;0;0,09;0,05
"jornal";1,04;0;0;0;0,19;0;0,56;0,41;0,27;0,07;0
"periódico";0,52;0;0,56;0,61;0,19;1,4;0,79;0,51;0,2;0,07;0,41
"destinar";0,52;0;0,28;0;0;0;0,34;0;0,34;0,18;0,05
"papel";1,04;1,16;0,83;0,61;0,19;0,75;1,46;1,74;0,41;0,68;1,57
"fomentar";0,52;0;0,28;0;0;0,11;0,22;0,21;0,2;0,07;0,2
"questionar";1,56;1,16;0;0,31;0;0,22;0;0;0,14;0,13;0,15
"posição";0,52;0;0;0,31;0,19;0;0,11;0;0,07;0,15;0,05
"entendido";0,52;0;0;0;0;0,43;0;0;0,2;0,04;0,05
"ampliação";1,04;0;0;0,31;0,39;0,11;0,11;0,62;0,27;0,11;0
"esfera";0,52;0;0;0;0;0,32;0,22;0,31;0,07;0,26;0,36
"público";1,04;0;1,39;1,23;0,77;0,54;2,36;2,15;1,49;1,47;2,23
"agora";1,04;1,16;0;0;0,39;0;0,45;0;0,14;0,07;0,1
"ano";0,52;0;1,67;0,61;0,39;0,32;2,13;2,87;1,56;0,72;1,37
"família";0,52;0;0;0;0,39;0;0,11;0,41;0,14;0,29;0,25
"perspectiva";1,56;3,48;0,56;1,23;1,16;1,29;1,35;1,64;1,35;0,88;1,01
"evoluir";0,52;0;0;0;0;0,22;0;0,1;0;0,07;0,1
"natureza";0,52;1,16;0,28;0,61;0,58;0,75;0,11;0,21;0,61;0,53;0,36
"instrumento";0,52;0;0;0;0;0,11;0,11;0,31;0,27;0,46;0,25
"técnico";0,52;0;0;0,31;0,19;0;0,22;0,72;0,14;0,07;0,3
"linguagem";0,52;0;0;0,31;0,96;0,86;0,79;0,82;0,41;0,09;0,3
"sempre";0,52;0;0,28;0,31;0;0;0,22;0,21;0,14;0,2;0,05
"complexo";0,52;0;0,28;0,31;0,58;0;0;0,31;0,27;0,11;0,2
"expansão";1,04;0;0,28;0;0,19;0;0;0,1;0;0,09;0,41
"científico";0,52;0;1,94;0,61;5,79;3,01;4,49;2,56;1,76;0,66;1,22
"atualidade";1,56;0;0;0;0,19;0,43;0,11;0,1;0,2;0,28;0,1
"aumentar";0,52;0;0;0;0;0,11;0,11;0,1;0,34;0,07;0,25
"significativamente";0,52;1,16;0;0;0,19;0;0,11;0;0,07;0,04;0,36
"essa";1,04;2,32;0,83;1,23;0,39;1,61;1,79;0,92;1,15;2,28;1,57
"complexidade";0,52;0;0,83;0,61;0,39;0,22;0;0,1;0;0,09;0,3
"transformação";1,04;0;0,28;0,61;0,58;0,75;0,11;1,03;0,54;1,12;1,17
"aprender";0,52;0;0;0;0,39;0,86;0,34;0,21;0,2;0,53;0,1
"precisar";0,52;0;0;0;0,77;0,43;0,56;0,82;0;0,52;0,2
"amplo";0,52;1,16;0,28;0;0,19;0,43;0,56;0,31;0,2;0,24;0,3
"sócio";0,52;0;0;0;0;0,11;0;0;0,07;0,15;0
"caráter";0,52;0;0,28;0,61;1,35;0,11;0,67;0,41;0,41;0,29;0,2
"aprendizagem";0,52;4,63;0;0,31;1,35;1,08;1,01;2,36;2,85;4,23;2,79
"todo";0,52;2,32;2,78;0,61;0,19;1,4;1,23;1,03;1,42;1,66;1,12
"tic";1,04;0;0;0;0,19;0;0,45;0,1;0,07;0,35;0,41
"pedagógico";0,52;1,16;0;0;0,39;0,43;0,9;1,64;1,02;1,1;1,88
"educativo";0,52;0;0;0;0;0,11;0;0,21;0,75;0,15;1,12
"escolar";1,56;0;1,11;0;0,19;0,97;0;0,62;0,68;0,94;0,81
"natural";0,52;0;0;0;0;0,11;0,22;0,21;0,27;0,07;0,36
"artista";0,52;0;0,28;0,31;0;0,11;0,22;0,51;0,27;0,02;0,1
"criar";1,04;1,16;1,11;0;0,39;0,65;0,34;0,72;0,41;0,96;0,46
"próprio";1,04;2,32;0,83;0,92;0,77;0,65;0,56;0,21;0,34;0,28;0,51
"diante";0,52;0;0;0,31;0,19;0,22;0,67;0,92;0,54;0,99;0,81
"referencial";0,52;0;0,83;0;0,19;0,22;0,56;0,1;0,2;0,04;0,3
"verificar";0,52;3,48;0;0,31;0,39;0,54;0,45;0,31;0,41;0,37;0,15
"possibilidade";2,08;3,48;1,39;1,53;0,96;0,86;1,01;1,03;0,88;0,92;0,36
"implicação";0,52;0;0,28;0;0,39;0,43;0,34;0;0,14;0,24;0,25
"epistemológico";0,52;0;0;0,31;0,58;0,54;0,22;0,1;0,2;0,04;0
"demais";0,52;0;0;0;0;0,11;0;0,21;0,14;0,07;0,1
"elemento";1,04;1,16;0,83;1,84;0,58;0,22;0,22;0,92;0,47;0,31;0,41
"acreditar";0,52;0;0,28;0,61;0;0;0;0;0;0,31;0,05
"oportunidade";0,52;2,32;0;0,31;0,39;0,75;0,56;0,62;0,2;0,35;0,71
"benefício";0,52;0;0,28;0,31;0,19;0;0,34;0;0;0,46;0,46
"ambiente";2,08;2,32;0,28;0,61;0,77;1,08;1,46;0,62;1,22;0,98;1,52
"potencializar";0,52;0;0,28;0,31;0;0,11;0;0,1;0,14;0,04;0,3
"recurso";0,52;3,48;0,28;0,31;1,35;0,32;1,23;0,82;0,81;1,86;1,88
"contato";0,52;1,16;0;0,31;0;0,54;0,11;0,21;0,2;0,26;0,15
"meio";0,52;1,16;3,61;3,37;1,16;1,29;3,25;2,87;2,71;2,56;2,79
"efetivo";0,52;0;0;0;0,39;0;0,22;0,1;0,07;0,07;0,2
"consolidação";0,52;0;0;0;0;0;0;0;0;0,17;0,05
"planeta";0,52;0;0;0,61;0;0,11;0,11;0,21;0,34;0,04;0,05
"decisão";0,52;0;0;0;0;0,11;0,11;0,31;0,27;0,06;0,2
"colaboração";1,04;0;0,28;0;0;0,43;0,34;0;0,2;0,09;0,46
"associação";0,52;0;0;0;0,39;0,43;0,34;0,1;0,07;0,04;0
"interativo";0,52;0;0;0;0,19;0;0,22;0,1;0;0,15;0,46
"palavra";0,52;0;1,11;1,53;1,35;2,26;1,23;1,33;0,88;0,2;0,25
"chave";0,52;0;1,11;1,84;1,35;2,26;1,46;0,51;0,75;0,07;0,2
"educação";2,08;0;2,22;1,53;1,54;2,58;2,47;5,13;5,76;5,78;4,67
"dimensão";0,52;1,16;0,83;0;0,39;0,32;0,79;0,41;0,41;0,11;0,2
"crise";1,04;0;0,28;0;0;0,11;0,67;0,1;0,61;0,11;0,05
"autor";1,56;0;1,67;1,53;0,19;0,97;1,23;1,33;0,95;1,31;0,86
"freire";1,04;0;0;0;0;0,11;0;0;0,75;0,06;0,05
"tender";0,52;1,16;0,83;0,31;0,39;0,65;0,34;1,03;1,02;1,12;0,2
"registro";0,52;0;0,83;0,31;0,58;0,22;0,34;0,51;0,27;0,11;0,05
"publicação";0,52;0;0,56;0;0,19;0,75;1,35;1,33;0,2;0,18;0,46
"educacional";0,52;0;0,56;0;0,58;0,86;0,34;0,82;0,95;1,55;2,79
"depois";1,04;1,16;0,28;0,31;0;0;0,22;0,1;0,2;0,02;0,05
"convergência";0,52;1,16;0;0;0,58;0;0,45;0;0;0,04;0
"inserir";0,52;0;0,56;0,61;0,19;0,43;0,22;0,1;0,34;1,36;0,15
"quadro";0,52;0;0;0;0,96;0,11;0;0,1;0,2;0,04;0
"xx";0,52;0;0;0,61;0;0;0;0,31;0,14;0,13;0,15
"contribuição";0,52;0;0,56;0,31;0,39;1,08;1,01;1,33;0,88;0,77;0,56
"limite";1,04;0;0;0;0;0;0,45;0;0,2;0,06;0,05
"movimento";0,52;0;0;0,61;0;0,11;0,34;1,44;0,47;0,26;0,61
"formulação";0,52;0;0;0,61;0;0,22;0;0,1;0,07;0,04;0,05
"direcionar";0,52;0;0;0;0;0,11;0;0,1;0,27;0,2;0,2
"povo";1,04;0;0;0,31;0;0;0,11;0,21;0,2;0,17;0,2
"janeiro";0,52;0;0;0;0;0;0,11;0,21;0,34;0,13;0,05
"principalmente";0,52;0;0,56;0,92;0,39;0,32;0,45;0,41;0,68;0,5;0,76
"exclusão";0,52;0;0;0;0;0,11;0,11;0;0;0,22;0,1
"considerar";0,52;4,63;1,67;1,23;2,7;0,32;1,23;0,92;0,61;0,92;1,12
"atenção";0,52;0;0,28;0,92;0;0,22;0,45;0,21;0,47;0,09;0,2
"específico";0,52;2,32;0;0,92;0,39;0,43;0,56;0,31;0,88;0,81;0,61
"incluir";0,52;0;0,28;0;0,19;0,54;0,34;0,21;0,54;0,18;1,07
"breve";0,52;1,16;0,56;0;0;0,43;0,34;0,51;0,47;0,24;0,15
"caracterizar";0,52;0;0;0;0,58;0,22;0,45;0,21;0,2;0,13;0,1
"respeito";0,52;0;0,56;0,31;0,39;0,54;0,79;0,51;0,34;0,92;0,41
"esse";2,08;0;2,22;1,84;0,19;1,18;1,57;1,85;1,29;1,47;1,27
"comumente";0,52;0;0;0;0;0;0;0;0,07;0,15;0,15
"expor";0,52;0;0,28;0,31;0,19;0,43;0,22;0;0,41;0,42;0,25
"sustentar";0,52;0;0;0,31;0;0;0;0,1;0;0,13;0,2
"literário";1,04;0;0,83;0,61;0,39;0;0,34;1,33;0,07;0,42;0,05
"eletrônico";1,04;0;0,28;0,31;0,19;1,18;0,22;0,31;0,41;0,57;0,46
"entrevista";1,04;0;0;0,61;0,77;0;0,45;0,41;0,2;0,26;0,25
"filologia";1,04;0;0;0;0;0,75;0,22;0;0,07;0,02;0,05
"linguístico";2,08;0;0;0,92;0,19;2,04;0,56;0,21;0,2;0,09;0,25
"horizonte";0,52;0;0,28;0;0,39;0,22;0;0,21;0,07;0,04;0,05
"produzir";1,04;0;1,67;1,53;0,77;0,97;1,01;1,23;0,68;0,63;0,25
"computacional";1,04;0;0,56;0;0,96;0,75;1,01;0,31;0,81;0,13;0,05
"filológico";1,04;0;0;0;0;0,22;0,56;0;0,34;0;0
"tradicional";0,52;2,32;0,28;0;0,96;0,32;0,22;0,21;0,14;0,24;0,41
"exploração";0,52;0;0,28;0,92;0,19;0,11;0,22;0;0,14;0,15;0,05
"textual";1,56;0;0;0,31;0;0,54;0,67;0,41;0,41;0,74;0,36
"usado";0,52;0;0,56;0,92;0,19;0;0;0,1;0,61;0,13;0,25
"corpus";1,04;0;0;1,53;0,19;3,01;0,45;0,51;0,41;0,17;0,3
"examinar";0,52;0;0,28;0;0,58;0,43;0,11;0,1;0;0,13;0,51
"combinação";0,52;1,16;0;0;0;0;0,11;0;0,27;0;0,3
"procedimento";0,52;1,16;0;0;0,58;0,22;0,22;0,1;0,27;0,22;0,15
"envolvido";1,04;0;0;0,31;0,77;0,43;0,22;0,31;0,41;0,26;0,15
"abordar";1,04;2,32;0,56;0,61;0,77;0,54;1,12;0,62;1,08;1,16;1,88
"banco";0,52;0;0,28;0;0;0,32;0,11;0;0,14;0,06;0,15
"coleção";0,52;0;0,28;0;0,19;0,11;0,34;0;0,27;0,02;0,15
"permitir";0,52;0;1,11;0;1,74;0,97;0,56;1,03;0,95;0,42;1,07
"tentar";0,52;1,16;0;0,92;0;0;0;0,1;0,07;0,07;0,15
"aberto";0,52;0;0,56;1,53;0,19;1,61;1,01;0,21;0,14;0,15;0,2
"consideração";0,52;0;0,28;0;0,39;0,22;0,45;0,41;0,2;0,35;0,71
"investigação";0,52;0;0,83;0,31;1,16;1,4;0,79;1,03;1,02;0,63;0,76
"arquivo";2,08;0;1,94;0,61;0,58;1,94;2,47;0;0,34;0,52;0,15
"material";1,56;0;0,56;0,92;0,77;0,65;0,9;0,51;0,41;0,53;0,66
"então";0,52;0;0;0,61;0;0,22;0,11;0,21;0,14;0,22;0,1
"problema";1,56;0;1,39;0,92;0,39;1,29;0,22;0,62;0,88;0,85;0,96
"lado";0,52;0;0,28;0,31;0;0,11;0,11;0,31;0,2;0,06;0,1
"pergunta";1,04;0;0;0;0,19;0,11;0;0;0,07;0,09;0,05
"manuscrito";1,04;0;0;0;0;0,32;0,45;0;0;0,07;0
"objeto";0,52;1,16;0;1,23;0,58;0,75;0,67;1,03;0,47;0,37;0,3
"ler";0,52;0;0,28;0;0;0,32;0,34;0,21;0,2;0,07;0
"criativo";0,52;0;0;0;0,39;0,11;0,45;0,41;0,27;0,04;0,41
"quando";1,04;0;0,83;0,61;0,58;0,32;0,79;0,1;0,41;0,52;0,51
"contar";0,52;0;0,28;0;0,39;0,22;0,9;0,62;0,41;0,5;0,2
"lugar";0,52;0;0,83;0;0;0;0,22;0,21;0,34;0,28;0,41
"lei";0,52;0;0,56;0,61;0;0,22;0;0,31;0,27;0,22;0,2
"recorte";1,04;0;0;0;0,19;0;0,22;0,41;0,27;0,06;0,1
"determinar";0,52;0;0;0;0,19;0;0,34;0;0,14;0,09;0,15
"simultaneamente";0,52;0;0;0,61;0;0,43;0,11;0;0;0,07;0,05
"contemplar";0,52;0;0;0;0;0,32;0,34;0;0,27;0,11;0,1
"você";0,52;0;0;0;0;0,22;0,11;0;0,07;0,79;0,05
"colocar";0,52;0;0,56;0,61;0,19;0,22;0,34;0,21;0,2;0,33;0
"inicial";0,52;1,16;0;0;0,19;0,11;0,22;0,51;0,14;0,5;0,3
"obra";0,52;0;2,22;0,92;1,16;0,43;0,34;1,64;1,02;0,98;0,41
"incorporação";0,52;0;0,83;0;0;0,22;0;0,21;0,07;0,06;0
"escritor";0,52;0;0;0,31;0;0;0,34;0,1;0,07;0,04;0,05
"cuja";0,52;0;0;0,92;0,39;0,22;0;0,1;0,27;0,04;0,1
"literatura";0,52;0;0;0,61;0,77;0,43;0,56;1,23;0,88;0,39;1,72
"cinema";0,52;0;0;0,61;3,09;0;1,35;0,72;0,07;0,13;0
"diretor";0,52;0;0;0,31;0;0;0,11;0,21;0,2;0,07;0
"and";0,52;0;0,28;0;0;0,22;0;0,41;0;0,02;0,3
"centro";0,52;1,16;0;1,23;0,39;0,32;0,56;0,1;0,41;0,35;0,1
"universidade";0,52;0;1,39;1,84;1,35;2,8;0,9;0,62;1,29;0,87;0,76
"linha";0,52;0;0;0,61;0,19;0,11;0,67;0,1;0,34;0,09;0,25
"sob";0,52;0;1,11;0,92;0,39;0,54;0,45;0,82;0,41;0,18;0,25
"leitura";0,52;0;1,39;0,31;0,58;0,86;0,79;1,03;0,68;1,01;0,41
"distância";0,52;0;0;0;0;0;0,34;0,1;0,75;0,2;0,25
"tal";0,52;0;1,39;1,84;1,54;1,08;0,79;0,51;0,95;0,99;0,91
"investimento";0,52;0;0;0;0;0;0,22;0;0,2;0,06;0,3
"financeiro";0,52;0;0;0;0;0,11;0;0;0,2;0,24;0,36
"necessário";0,52;0;1,67;0,61;0,19;1,08;0,22;0,62;0,95;0,46;0,2
"implementação";0,52;0;0,28;0;0,19;0,22;0;0,41;0,2;0,24;0,81
"fato";0;1,16;0,28;0,31;0,19;0,43;0,45;0,51;0,34;0,28;0,2
"estudar";0;1,16;0,83;0,31;0;0,22;0,45;0,1;0,54;0,11;0,15
"impresso";0;2,32;0;0,31;0,19;0,11;0,34;0;0,07;0,06;0,05
"último";0;2,32;0,83;0;0;0,22;0,79;0,21;0,34;0,33;0,56
"quanto";0;1,16;0,56;1,53;0,39;0,65;0,79;0,21;0,41;0,88;1,07
"escopo";0;1,16;0;0;0,19;0,54;0;0,1;0,14;0,13;0,2
"paradigma";0;2,32;0,28;0,31;0;0,11;0,22;0,31;0,14;0,09;0,2
"ideia";0;2,32;1,39;0,61;0,77;0;0,11;1,03;0,27;1,01;0,41
"tópico";0;1,16;0;0;0,19;0;0,79;0;0,14;0,18;0,1
"digitalização";0;3,48;0;0;0,19;0,22;2,02;0;0,07;0,06;0,1
"desempenhar";0;1,16;0;0,31;0;0;0;0,21;0,07;0,09;0,3
"tempo";0;1,16;0,56;0,61;0,39;0,97;0,56;1,44;1,76;0,9;0,61
"produção";0;3,48;1,39;3,07;2,12;2,91;1,57;2,05;1,69;1,62;1,07
"conhecimento";0;1,16;4,16;2,15;5,21;2,48;3,14;2,46;1,22;2,67;1,22
"disseminação";0;1,16;0;0,31;0;0,11;0,45;0,1;0,07;0,17;0,36
"argumentar";0;1,16;0,28;0;0;0,11;0,34;0;0;0,02;0,2
"exigir";0;1,16;0,56;0,31;0,19;0,65;0,45;0,1;0,14;0,09;0,36
"nossa";0;1,16;1,67;1,23;0;0,86;0,45;0,31;0,27;0,64;0,15
"noção";0;2,32;0,28;0,92;0,58;0;0;0,62;0,61;0,06;0,1
"mudar";0;1,16;0;0;0,19;0,11;0,11;0,1;0,14;0,04;0,15
"abrir";0;2,32;0,28;0,31;0;0,54;0,45;0,31;0,14;0,17;0
"intenso";0;1,16;0,28;0;0;0;0,11;0,1;0,2;0,02;0,15
"teoria";0;1,16;1,94;1,53;0,19;0,32;0,79;0,41;0,14;0,75;0,86
"bem";0;1,16;2,22;2,15;0,39;1,08;1,46;0,72;1,35;1,29;1,07
"xml";0;1,16;0;0;0;1,51;0,11;0,31;0,07;0,07;0
"analisado";0;1,16;0,28;0;0,19;0,11;0,11;0,1;0,07;0,07;0,15
"preservar";0;1,16;0,56;0;0;0,11;0,11;0;0,07;0,07;0
"pouco";0;1,16;0,56;0;0,19;0;0,45;0,51;0,14;0,17;0,41
"servir";0;1,16;0;0,31;0;0,65;0;0;0,07;0,42;0,1
"fonte";0;1,16;0;1,53;1,35;0,86;1,46;0,51;0,61;0,7;0,25
"entretenimento";0;1,16;0;0;0,77;0,11;0,11;0;0;0,07;0,1
"resultar";0;1,16;0;0;0,58;0;0;0;0,27;0,11;0,36
"chamado";0;1,16;0;0,61;0,19;0,75;0,34;0,1;0,27;0,15;0,2
"hds";0;5,79;0;0;0;0,32;0,11;0;0,2;0;0
"ensino";0;4,63;1,39;0,92;1,54;1,61;2,13;4,2;5,01;9,35;5,33
"estrangeiro";0;1,16;0;0,31;0,77;0,43;0,11;0,21;0,14;0,04;0,1
"abordagem";0;6,95;1,11;0,61;0,19;0,54;1,01;0,72;1,76;1,93;2,03
"tanto";0;1,16;0,83;2,45;1,16;0,97;1,35;1,54;1,08;0,66;0,96
"professor";0;1,16;1,11;0,31;1,16;0,54;1,91;1,23;2,51;4,29;2,18
"aluno";0;1,16;0,56;0,61;1,16;1,72;1,01;1,44;1,49;4,79;1,88
"essencial";0;1,16;0;0;0;0;0,22;0;0,47;0,83;1,01
"auxiliar";0;1,16;0;0;0,96;0,43;0,11;0,31;0,14;0,2;0,41
"influência";0;2,32;0,28;0,31;0;0,11;0,22;0,41;0,07;0,18;0,46
"quantidade";0;4,63;0,28;0,61;0,19;0,43;0,34;0,41;0,14;0;0,15
"preparação";0;2,32;0;0;0;0,11;0;0;0,07;0,35;0,05
"três";0;1,16;1,11;0,31;0,39;0,75;1,01;0,62;0,27;0,09;0,3
"1";0;8,11;0,28;0;0,39;0,65;0,67;0,82;0,2;0,24;0,25
"sem";0;3,48;1,11;0,92;0,19;0,86;0,34;0,62;0,34;0,46;0,3
"médio";0;1,16;0,28;0,31;0;0,11;0,34;0,72;0,27;0,9;0,3
"90";0;1,16;0,56;0;0;0;0;0;0;0,15;0
"executar";0;1,16;0;0;0;0,11;0;0,1;0;0,22;0
"utilizar";0;3,48;1,11;1,84;3,47;1,83;2,58;1,44;2,91;2,04;2,59
"s";0;1,16;0;0;0,19;0,11;0,67;0,51;0,41;0,09;0,2
"80";0;1,16;0;0;0;0;0;0;0;0,18;0
"influenciar";0;1,16;0,28;0;0;0,32;0;0;0;0,04;0,56
"aumento";0;1,16;0,28;0;0,19;0;0,22;0,1;0,2;0,07;0,1
"significativo";0;2,32;0;0,31;0,19;0;0,56;0,31;0,07;0,46;1,32
"ciência";0;4,63;1,39;2,45;5,01;3,44;6,28;2,05;3,05;0,99;1,32
"mapa";0;1,16;1,94;0;0;0,43;0,34;0;0,27;0,11;0
"experiência";0;2,32;0,28;0,92;0,58;0,86;0,9;1,23;1,15;1,18;1,17
"município";0;1,16;0;0;0,19;0;0,11;0,1;0,41;0,17;0,1
"levantamento";0;1,16;1,67;0,31;0,19;0,11;0,22;0,21;0,27;0,39;0,36
"água";0;3,48;0;0,61;0;0;0;0,21;0;0,02;0,1
"tratamento";0;2,32;0;0,31;0,96;0,32;0,56;0,1;0,81;0,13;0,41
"plano";0;1,16;0;0;0;0;0,22;0,62;0,07;0,18;0,2
"equipamento";0;1,16;0,28;0;0;0;0;0;0,14;0,17;0,05
"avaliar";0;1,16;0,56;0;0;0,32;0,11;0,1;0,14;0,2;0,71
"sistema";0;1,16;1,11;2,76;0,77;1,08;1,01;0,51;0,68;0,48;0,81
"valor";0;2,32;0,28;0,61;0;0,43;0,11;0,51;0,27;0,42;0,1
"obter";0;2,32;0,28;0;0,19;0,32;0,11;0,31;0,2;0,2;0,41
"ficar";0;2,32;0;0,31;0,39;0;0,22;0,31;0,2;0,15;0,15
"mercado";0;1,16;0,28;0;0,58;0;0,45;0,1;0,2;0,13;0,41
"forte";0;1,16;0,56;0;0;0;0;0;0;0,2;0,15
"demonstrar";0;1,16;0,28;0,61;0,39;0,65;0,45;0,92;0,81;0,26;0,61
"predeterminado";0;2,32;0,28;0;0,96;0;0;0;0,14;0,17;0,05
"apontar";0;1,16;1,39;0,61;0,96;0,32;0,79;0,41;0,41;0,37;1,01
"explorar";0;1,16;0;0,92;0,39;0,11;1,12;0,62;0,07;0,63;1,67
"indicar";0;1,16;0;0,61;0,19;0,43;0,11;0,31;0,14;0,11;0,96
"desenvolvimento";0;2,32;1,39;0,92;1,54;2,04;1,79;2,05;2,51;1,34;2,13
"apropriação";0;2,32;0;0,31;0;0,32;0,11;0,1;0,14;0,09;0
"ciberespaço";0;1,16;0,83;0;0;0,22;0;0,1;0,07;0,02;0,25
"espaço";0;2,32;0,83;0,61;1,35;1,08;0,79;0,82;0,75;0,74;0,71
"conjunto";0;1,16;0,28;0,92;0,77;0,22;0,67;0,21;0,47;0,28;0,51
"atividade";0;1,16;0;0,31;0,58;2,26;0,45;1,03;1,76;0,94;0,56
"emergente";0;1,16;0;0;0,19;0,43;0,34;0,21;0,34;0,11;0,3
"constituição";0;1,16;0;0,31;0;0,54;0,34;0,1;0,2;0,29;0,25
"configurar";0;1,16;0;0,31;0;0,43;0,11;0,1;0,41;0,09;0,05
"exploratório";0;1,16;0,28;0,92;1,35;0,22;0,45;0,62;0,68;0,35;0,41
"mapeamento";0;1,16;0;0;0,39;0,43;0,45;0,1;0,07;0,02;0,05
"museu";0;1,16;0,28;1,23;1,16;2,04;0,67;0;0,27;0,26;0,15
"região";0;1,16;0;0,31;0;0,11;1,12;0;0,81;0,24;0,2
"iniciativa";0;3,48;0,56;0,92;0,19;0,22;0,79;0,21;0,34;0,04;0,15
"documento";0;1,16;1,39;0,61;2,31;3,23;1,35;0,1;0,68;0,48;0,2
"acervo";0;2,32;0,56;0,92;0,96;1,08;1,23;0,41;0,34;0,26;0,05
