"";"*HDLENS2014";"*HDLENS2015";"*HDLENS2016";"*HDLENS2017";"*HDLENS2018";"*HDLENS2019";"*HDLENS2020";"*HDLENS2021";"*HDLENS2022";"*HDLENS2023";"*HDLENS2024"
"incorporação";1;0;3;0;0;2;0;2;1;3;0
"escritor";1;0;0;1;0;0;3;1;1;2;1
"cuja";1;0;0;3;2;2;0;1;4;2;2
"literatura";1;0;0;2;4;4;5;12;13;21;34
"cinema";1;0;0;2;16;0;12;7;1;7;0
"diretor";1;0;0;1;0;0;1;2;3;4;0
"and";1;0;1;0;0;2;0;4;0;1;6
"centro";1;1;0;4;2;3;5;1;6;19;2
"universidade";1;0;5;6;7;26;8;6;19;47;15
"linha";1;0;0;2;1;1;6;1;5;5;5
"sob";1;0;4;3;2;5;4;8;6;10;5
"leitura";1;0;5;1;3;8;7;10;10;55;8
"distância";1;0;0;0;0;0;3;1;11;11;5
"tal";1;0;5;6;8;10;7;5;14;54;18
"investimento";1;0;0;0;0;0;2;0;3;3;6
"financeiro";1;0;0;0;0;1;0;0;3;13;7
"necessário";1;0;6;2;1;10;2;6;14;25;4
"implementação";1;0;1;0;1;2;0;4;3;13;16
"fato";0;1;1;1;1;4;4;5;5;15;4
"estudar";0;1;3;1;0;2;4;1;8;6;3
"impresso";0;2;0;1;1;1;3;0;1;3;1
"último";0;2;3;0;0;2;7;2;5;18;11
"quanto";0;1;2;5;2;6;7;2;6;48;21
"escopo";0;1;0;0;1;5;0;1;2;7;4
"paradigma";0;2;1;1;0;1;2;3;2;5;4
"ideia";0;2;5;2;4;0;1;10;4;55;8
"tópico";0;1;0;0;1;0;7;0;2;10;2
"digitalização";0;3;0;0;1;2;18;0;1;3;2
"desempenhar";0;1;0;1;0;0;0;2;1;5;6
"tempo";0;1;2;2;2;9;5;14;26;49;12
"produção";0;3;5;10;11;27;14;20;25;88;21
"conhecimento";0;1;15;7;27;23;28;24;18;145;24
"disseminação";0;1;0;1;0;1;4;1;1;9;7
"argumentar";0;1;1;0;0;1;3;0;0;1;4
"exigir";0;1;2;1;1;6;4;1;2;5;7
"nossa";0;1;6;4;0;8;4;3;4;35;3
"noção";0;2;1;3;3;0;0;6;9;3;2
"mudar";0;1;0;0;1;1;1;1;2;2;3
"abrir";0;2;1;1;0;5;4;3;2;9;0
"intenso";0;1;1;0;0;0;1;1;3;1;3
"teoria";0;1;7;5;1;3;7;4;2;41;17
"bem";0;1;8;7;2;10;13;7;20;70;21
"xml";0;1;0;0;0;14;1;3;1;4;0
"analisado";0;1;1;0;1;1;1;1;1;4;3
"preservar";0;1;2;0;0;1;1;0;1;4;0
"pouco";0;1;2;0;1;0;4;5;2;9;8
"servir";0;1;0;1;0;6;0;0;1;23;2
"fonte";0;1;0;5;7;8;13;5;9;38;5
"entretenimento";0;1;0;0;4;1;1;0;0;4;2
"resultar";0;1;0;0;3;0;0;0;4;6;7
"chamado";0;1;0;2;1;7;3;1;4;8;4
"hds";0;5;0;0;0;3;1;0;3;0;0
"ensino";0;4;5;3;8;15;19;41;74;508;105
"estrangeiro";0;1;0;1;4;4;1;2;2;2;2
"abordagem";0;6;4;2;1;5;9;7;26;105;40
"tanto";0;1;3;8;6;9;12;15;16;36;19
"professor";0;1;4;1;6;5;17;12;37;233;43
"aluno";0;1;2;2;6;16;9;14;22;260;37
"essencial";0;1;0;0;0;0;2;0;7;45;20
"auxiliar";0;1;0;0;5;4;1;3;2;11;8
"influência";0;2;1;1;0;1;2;4;1;10;9
"quantidade";0;4;1;2;1;4;3;4;2;0;3
"preparação";0;2;0;0;0;1;0;0;1;19;1
"três";0;1;4;1;2;7;9;6;4;5;6
"1";0;7;1;0;2;6;6;8;3;13;5
"sem";0;3;4;3;1;8;3;6;5;25;6
"médio";0;1;1;1;0;1;3;7;4;49;6
"90";0;1;2;0;0;0;0;0;0;8;0
"executar";0;1;0;0;0;1;0;1;0;12;0
"utilizar";0;3;4;6;18;17;23;14;43;111;51
"s";0;1;0;0;1;1;6;5;6;5;4
"80";0;1;0;0;0;0;0;0;0;10;0
"influenciar";0;1;1;0;0;3;0;0;0;2;11
"aumento";0;1;1;0;1;0;2;1;3;4;2
"significativo";0;2;0;1;1;0;5;3;1;25;26
"ciência";0;4;5;8;26;32;56;20;45;54;26
"mapa";0;1;7;0;0;4;3;0;4;6;0
"experiência";0;2;1;3;3;8;8;12;17;64;23
"município";0;1;0;0;1;0;1;1;6;9;2
"levantamento";0;1;6;1;1;1;2;2;4;21;7
"água";0;3;0;2;0;0;0;2;0;1;2
"tratamento";0;2;0;1;5;3;5;1;12;7;8
"plano";0;1;0;0;0;0;2;6;1;10;4
"equipamento";0;1;1;0;0;0;0;0;2;9;1
"avaliar";0;1;2;0;0;3;1;1;2;11;14
"sistema";0;1;4;9;4;10;9;5;10;26;16
"valor";0;2;1;2;0;4;1;5;4;23;2
"obter";0;2;1;0;1;3;1;3;3;11;8
"ficar";0;2;0;1;2;0;2;3;3;8;3
"mercado";0;1;1;0;3;0;4;1;3;7;8
"forte";0;1;2;0;0;0;0;0;0;11;3
"demonstrar";0;1;1;2;2;6;4;9;12;14;12
"predeterminado";0;2;1;0;5;0;0;0;2;9;1
"apontar";0;1;5;2;5;3;7;4;6;20;20
"explorar";0;1;0;3;2;1;10;6;1;34;33
"indicar";0;1;0;2;1;4;1;3;2;6;19
"desenvolvimento";0;2;5;3;8;19;16;20;37;73;42
"apropriação";0;2;0;1;0;3;1;1;2;5;0
"ciberespaço";0;1;3;0;0;2;0;1;1;1;5
"espaço";0;2;3;2;7;10;7;8;11;40;14
"conjunto";0;1;1;3;4;2;6;2;7;15;10
"atividade";0;1;0;1;3;21;4;10;26;51;11
"emergente";0;1;0;0;1;4;3;2;5;6;6
"constituição";0;1;0;1;0;5;3;1;3;16;5
"configurar";0;1;0;1;0;4;1;1;6;5;1
"exploratório";0;1;1;3;7;2;4;6;10;19;8
"mapeamento";0;1;0;0;2;4;4;1;1;1;1
"museu";0;1;1;4;6;19;6;0;4;14;3
"região";0;1;0;1;0;1;10;0;12;13;4
"iniciativa";0;3;2;3;1;2;7;2;5;2;3
"documento";0;1;5;2;12;30;12;1;10;26;4
"acervo";0;2;2;3;5;10;11;4;5;14;1
"existente";0;1;0;1;1;3;0;3;2;5;8
"criação";0;1;4;2;4;11;5;9;4;9;10
"difusão";0;1;1;0;0;0;3;3;0;6;4
"acesso";0;1;10;4;15;23;20;11;13;34;18
"intervenção";0;1;2;0;1;0;0;1;3;7;4
"selecionar";0;1;1;1;0;3;4;2;4;16;8
"acercar";0;1;0;2;2;2;1;3;5;6;0
"marco";0;1;0;1;0;2;3;2;4;1;3
"analítico";0;1;0;1;2;1;0;0;2;7;6
"constatar";0;1;1;2;2;0;0;0;4;25;3
"usuário";0;1;0;2;12;10;2;6;7;5;13
"identidade";0;1;0;0;5;1;2;3;1;8;6
"suporte";0;2;1;1;4;0;5;0;1;6;7
"vantagem";0;1;0;1;0;2;1;1;0;4;2
"analógico";0;1;0;0;0;2;0;1;2;4;0
"romance";0;0;2;0;0;0;0;0;2;3;3
"santo";0;0;4;0;0;2;3;2;1;45;8
"evitar";0;0;1;0;0;1;2;1;1;4;0
"fronteira";0;0;1;0;2;5;0;1;0;2;1
"relato";0;0;2;1;0;0;3;11;4;25;2
"n";0;0;2;3;0;1;1;1;3;1;6
"princípio";0;0;4;1;2;3;0;2;7;9;7
"i";0;0;3;0;1;1;0;0;1;7;5
"ii";0;0;2;0;1;3;1;0;1;9;3
"elucidar";0;0;1;0;0;1;0;3;2;5;2
"argumento";0;0;3;5;0;2;1;1;2;6;1
"superar";0;0;1;1;2;0;1;0;3;17;6
"seção";0;0;1;0;0;0;1;0;8;1;0
"força";0;0;1;0;0;1;3;1;2;6;3
"revelar";0;0;2;3;0;2;3;0;3;14;8
"imagem";0;0;5;2;9;1;6;5;7;17;10
"representação";0;0;4;1;9;6;8;1;1;106;15
"filosofia";0;0;6;1;1;1;0;8;3;2;3
"dever";0;0;2;0;5;13;5;5;6;54;8
"muito";0;0;2;1;8;10;9;2;10;46;7
"devido";0;0;2;0;1;2;3;3;5;16;10
"constante";0;0;1;0;1;6;2;2;1;27;9
"escrito";0;0;2;3;1;2;2;0;3;1;2
"historiografia";0;0;1;2;1;0;0;1;2;4;1
"período";0;0;2;1;3;3;1;3;16;37;9
"racismo";0;0;1;0;0;2;0;0;0;5;6
"mil";0;0;1;0;0;0;1;0;2;8;1
"disciplina";0;0;3;4;1;3;7;4;6;82;10
"responsável";0;0;2;4;0;1;0;7;4;4;4
"gestão";0;0;6;0;1;6;8;4;7;7;20
"racial";0;0;1;0;0;0;0;1;0;5;8
"conhecido";0;0;2;1;1;1;0;1;2;6;8
"instituto";0;0;2;0;2;2;3;5;9;1;0
"articular";0;0;3;1;2;0;1;1;1;2;2
"infra-estrutura";0;0;7;0;0;0;1;0;0;9;7
"básico";0;0;3;3;3;0;1;2;6;22;11
"físico";0;0;2;2;1;9;0;4;10;32;10
"lógica";0;0;4;0;2;0;2;1;4;4;5
"disponível";0;0;3;0;1;0;2;4;4;20;3
"autoria";0;0;5;0;0;2;0;3;1;41;1
"fundamental";0;0;5;1;1;4;5;8;13;51;28
"entanto";0;0;2;0;1;2;1;2;8;16;9
"viabilizar";0;0;2;0;0;0;0;1;2;10;0
"cibercultura";0;0;2;1;0;0;0;1;1;2;3
"troca";0;0;2;0;0;6;0;1;1;4;1
"vivência";0;0;2;0;0;2;1;2;3;21;1
"universitário";0;0;3;2;0;0;3;1;6;3;3
"concluir";0;0;4;1;4;8;4;13;12;20;21
"coletivo";0;0;4;1;5;12;4;4;2;9;3
"colaborativo";0;0;2;1;1;4;2;1;4;6;10
"sociologia";0;0;1;1;0;0;0;0;8;2;0
"explicar";0;0;1;0;2;2;0;0;0;8;2
"advento";0;0;1;0;1;2;2;2;1;1;2
"modernidade";0;0;1;0;0;0;0;2;3;1;5
"mecanismo";0;0;3;0;1;0;0;1;2;11;3
"escolha";0;0;4;0;1;5;0;2;2;5;1
"ajudar";0;0;1;0;0;0;0;1;1;6;4
"agir";0;0;2;0;3;1;2;0;1;1;3
"informar";0;0;1;0;0;1;0;2;0;2;4
"situação";0;0;1;0;1;1;6;2;6;17;1
"conhecer";0;0;1;0;0;4;1;2;3;17;5
"passado";0;0;1;0;0;2;2;0;3;18;3
"reduzir";0;0;1;0;0;0;2;0;2;5;1
"relacionar";0;0;4;3;4;4;1;4;10;9;8
"inserção";0;0;3;0;2;0;6;2;0;12;5
"si";0;0;1;0;2;7;0;3;3;5;2
"direto";0;0;1;0;1;1;0;0;1;6;2
"viver";0;0;1;1;4;6;4;5;8;11;3
"inovação";0;0;1;0;4;5;3;12;6;6;26
"cidade";0;0;6;0;1;3;4;8;9;19;2
"nacional";0;0;2;2;4;3;15;7;12;55;9
"administração";0;0;1;0;0;0;2;0;1;3;3
"condição";0;0;5;0;6;2;10;2;3;33;6
"elaboração";0;0;6;1;1;0;1;1;5;8;3
"programa";0;0;3;2;2;4;5;8;12;19;7
"planejamento";0;0;3;1;0;0;1;2;1;16;5
"sobretudo";0;0;2;0;0;2;1;4;1;8;7
"contribuir";0;0;1;1;10;5;6;12;12;67;18
"saber";0;0;3;1;6;13;4;4;2;46;4
"pai";0;0;1;1;2;0;0;4;1;27;0
"enfrentar";0;0;3;0;1;2;2;3;0;38;22
"dificuldade";0;0;1;0;1;2;0;3;4;76;4
"ordem";0;0;1;0;1;1;1;1;0;3;4
"autoridade";0;0;1;0;1;0;1;1;1;6;2
"gestor";0;0;1;1;0;0;0;3;4;18;0
"solução";0;0;1;1;3;5;3;2;6;4;4
"serviço";0;0;1;0;0;2;3;3;2;12;8
"funcional";0;0;1;0;0;4;3;0;0;2;0
"cidadão";0;0;2;1;0;0;0;2;2;20;3
"metodologicamente";0;0;1;0;0;1;2;2;1;3;3
"conduzir";0;0;1;0;1;1;0;2;1;17;3
"produto";0;0;1;1;1;5;3;0;11;8;4
"relevante";0;0;2;1;0;1;2;4;2;39;16
"governo";0;0;1;0;1;0;0;3;1;3;3
"federal";0;0;1;2;6;2;4;7;12;32;9
"tentativa";0;0;1;0;3;0;2;5;1;4;3
"componente";0;0;1;2;0;0;0;0;2;12;1
"solo";0;0;2;0;0;0;0;2;1;1;4
"relativo";0;0;2;2;1;2;3;2;2;1;2
"urbano";0;0;4;0;0;0;1;0;4;10;0
"realizado";0;0;3;0;1;0;1;0;1;25;0
"ativo";0;0;3;1;0;0;3;9;6;30;15
"longo";0;0;3;0;0;2;5;10;2;47;11
"área";0;0;4;7;15;27;10;4;26;40;20
"gênero";0;0;1;0;1;1;3;7;12;12;9
"apenas";0;0;1;0;7;4;3;8;6;38;15
"obtido";0;0;3;0;1;3;0;1;6;7;5
"2";0;0;1;0;2;7;6;7;5;11;4
"sugerir";0;0;2;0;0;3;0;3;2;4;6
"primário";0;0;1;0;1;0;2;0;3;0;3
"2003";0;0;2;0;1;0;2;0;3;18;1
"surgimento";0;0;2;2;1;6;2;2;0;0;1
"intelectual";0;0;1;1;0;4;0;1;2;20;2
"interface";0;0;3;0;1;3;1;0;4;2;1
"memória";0;0;4;1;6;5;11;5;14;28;1
"máquina";0;0;1;0;0;0;1;1;2;6;3
"sujeito";0;0;2;0;2;2;0;4;3;32;0
"conectar";0;0;2;0;1;5;1;3;2;17;3
"conceitual";0;0;1;2;4;7;3;3;5;8;1
"comunidade";0;0;1;0;1;11;6;7;8;27;24
"crítico";0;0;2;3;3;1;3;3;6;18;6
"caminho";0;0;2;1;2;5;2;3;6;10;4
"econômico";0;0;1;1;0;4;1;1;4;20;17
"localizar";0;0;3;1;0;0;3;2;5;8;1
"alternativo";0;0;1;1;0;4;0;2;3;3;3
"provocar";0;0;1;0;0;1;2;0;6;4;1
"socialização";0;0;1;0;0;0;1;0;0;10;2
"ana";0;0;2;0;0;0;0;3;1;18;0
"paula";0;0;2;0;0;0;0;0;0;16;0
"especificidade";0;0;1;0;1;1;2;0;1;18;2
"escrita";0;0;2;8;0;1;2;1;8;30;3
"tão";0;0;1;0;0;0;0;1;2;8;5
"escolher";0;0;1;0;0;0;1;0;3;4;2
"exercício";0;0;2;1;4;2;1;0;5;2;3
"interpretativo";0;0;2;1;0;3;2;1;0;1;0
"configuração";0;0;1;0;0;0;2;0;1;3;5
"poético";0;0;1;2;2;1;0;1;0;6;0
"vista";0;0;2;3;4;2;2;8;7;55;6
"constituir";0;0;2;1;3;6;4;5;3;6;1
"acompanhar";0;0;2;0;0;4;2;0;4;7;2
"articulação";0;0;1;1;1;0;1;0;0;10;1
"religioso";0;0;6;0;0;0;1;1;5;7;6
"difícil";0;0;1;0;0;0;0;3;0;9;1
"aqui";0;0;4;3;2;3;3;0;4;11;3
"aprofundar";0;0;1;0;4;1;0;0;0;3;2
"percurso";0;0;1;1;1;2;1;1;3;14;3
"interpretação";0;0;4;2;1;0;2;5;0;15;2
"elaborar";0;0;2;1;0;0;4;3;6;19;3
"valorização";0;0;1;0;0;0;2;0;2;12;2
"ética";0;0;1;1;0;2;0;2;5;5;2
"estética";0;0;3;2;0;0;1;0;1;3;3
"música";0;0;3;1;0;0;0;3;2;36;1
"sequência";0;0;3;0;0;0;1;3;2;2;2
"complementar";0;0;1;0;0;1;1;0;1;1;7
"abranger";0;0;1;0;2;1;3;2;4;5;6
"evidenciar";0;0;3;3;4;4;2;8;8;26;19
"valorizar";0;0;1;0;1;1;5;0;0;2;3
"atribuir";0;0;1;1;1;0;1;0;1;2;3
"atingir";0;0;1;0;0;0;2;2;5;2;1
"ético";0;0;1;1;1;4;1;1;2;3;5
"representar";0;0;2;1;4;0;4;1;7;31;13
"americano";0;0;2;1;0;0;3;2;0;3;8
"2002";0;0;2;0;0;1;0;3;1;8;2
"2004";0;0;1;0;1;0;0;2;2;9;1
"utilização";0;0;1;2;3;4;6;7;9;41;8
"estágio";0;0;1;0;1;3;0;0;3;17;1
"faculdade";0;0;1;0;0;0;0;0;2;7;0
"inspiração";0;0;1;0;0;0;1;0;0;8;2
"voltar";0;0;1;1;0;2;1;0;4;19;3
"patrimônio";0;0;7;0;3;2;4;4;2;20;10
"dialogar";0;0;2;0;1;0;2;2;1;4;1
"especial";0;0;1;0;1;1;2;5;2;11;5
"figura";0;0;1;3;0;1;0;2;2;1;6
"pesquisador";0;0;1;0;4;19;12;7;7;17;5
"laboratório";0;0;1;4;1;9;2;7;1;3;3
"cientista";0;0;1;1;0;1;3;1;1;2;0
"moral";0;0;2;1;0;0;0;0;4;8;2
"descobrir";0;0;1;0;1;0;2;0;2;18;0
"construir";0;0;2;1;3;5;8;10;7;41;8
"cercar";0;0;1;0;0;1;0;1;2;8;1
"assunto";0;0;1;0;3;3;4;6;2;11;4
"querer";0;0;2;0;0;1;2;0;4;1;1
"pedagogia";0;0;2;0;0;1;1;0;7;10;2
"ato";0;0;1;0;1;3;0;0;1;0;4
"pensamento";0;0;3;5;3;0;2;6;5;16;7
"seguir";0;0;1;1;1;1;4;2;7;28;2
"passo";0;0;1;0;2;2;1;2;1;2;0
"usar";0;0;1;2;2;6;3;1;3;5;4
"escola";0;0;1;2;11;10;6;17;14;119;24
"chegar";0;0;2;0;0;0;2;2;0;7;2
"acessível";0;0;1;0;1;2;1;1;1;6;8
"aparelho";0;0;1;0;0;1;0;1;0;4;7
"internet";0;0;1;3;22;13;5;3;17;26;7
"plataforma";0;0;4;1;5;3;3;12;14;39;35
"on";0;0;3;0;1;2;2;0;3;26;3
"line";0;0;3;0;1;3;2;0;3;26;3
"inúmero";0;0;1;1;0;0;1;1;2;11;0
"interessante";0;0;1;1;0;0;1;1;0;16;3
"gerar";0;0;1;0;3;6;4;3;10;25;6
"aula";0;0;1;2;2;5;5;5;17;155;18
"operar";0;0;1;0;0;0;0;1;2;12;1
"repositório";0;0;1;0;4;9;0;6;2;6;6
"efeito";0;0;1;0;0;1;2;4;13;15;11
"imediato";0;0;1;0;0;0;2;1;0;6;1
"empresa";0;0;2;0;0;0;4;2;3;10;2
"maneira";0;0;4;3;3;5;3;6;8;28;8
"formação";0;0;4;0;2;11;13;9;31;109;43
"hipótese";0;0;2;0;0;3;1;3;1;3;2
"valer";0;0;1;0;0;0;3;1;7;3;1
"via";0;0;1;2;3;3;1;0;0;4;5
"comunitário";0;0;1;0;0;5;0;0;1;3;2
"virtual";0;0;1;1;1;6;6;10;19;30;17
"qualquer";0;0;1;1;2;3;0;3;3;5;4
"formato";0;0;1;0;3;6;1;3;3;17;6
"popular";0;0;1;0;0;0;0;1;2;17;2
"assumir";0;0;1;0;2;3;1;4;1;12;2
"entender";0;0;3;4;3;1;0;3;11;36;9
"mediar";0;0;1;0;0;1;3;8;4;5;2
"menos";0;0;1;1;2;1;1;2;0;3;1
"hd";0;0;2;0;1;3;5;0;1;0;1
"estudante";0;0;1;5;5;2;9;16;13;80;26
"superior";0;0;1;1;2;0;0;1;9;23;4
"extremo";0;0;1;0;0;1;1;0;1;10;0
"corpo";0;0;1;1;0;1;2;5;1;5;5
"arqueologia";0;0;1;3;0;4;0;0;1;1;0
"jogo";0;0;1;0;1;20;19;20;7;94;43
"me";0;0;1;0;1;2;0;1;2;4;0
"dizer";0;0;1;0;2;1;2;0;5;21;2
"significar";0;0;1;0;6;2;1;0;0;1;2
"normativo";0;0;1;0;0;0;0;2;1;2;5
"autoral";0;0;1;0;1;1;1;0;0;7;0
"justiça";0;0;2;1;0;1;0;2;2;8;4
"raciocínio";0;0;1;0;0;0;0;2;0;9;0
"jurídico";0;0;1;0;8;6;1;0;5;19;14
"lidar";0;0;1;2;1;3;0;1;3;18;3
"maria";0;0;1;0;0;0;0;4;4;19;2
"cujo";0;0;2;1;0;3;0;5;3;2;3
"junto";0;0;1;0;1;1;3;0;2;11;5
"legal";0;0;1;0;0;2;1;1;2;7;5
"relatar";0;0;1;0;0;1;1;4;3;5;2
"3";0;0;1;0;1;2;3;6;0;4;1
"2007";0;0;1;0;0;1;2;1;1;10;4
"2012";0;0;1;0;0;3;7;2;1;4;4
"of";0;0;2;1;0;1;3;8;0;6;6
"registrar";0;0;3;0;4;0;1;0;4;4;1
"facilitar";0;0;1;1;2;3;2;1;2;33;8
"velocidade";0;0;2;3;0;1;2;0;2;0;0
"preciso";0;0;1;0;0;3;2;3;1;4;1
"rápido";0;0;2;2;1;2;0;3;0;4;7
"preservação";0;0;4;1;2;18;0;5;3;18;0
"local";0;0;1;0;1;0;3;6;1;11;2
"potencialidade";0;0;1;0;0;2;6;0;1;14;5
"risco";0;0;1;0;1;9;4;1;1;2;4
"real";0;0;1;0;2;4;3;1;2;6;4
"evolução";0;0;2;0;2;7;4;2;2;29;18
"defender";0;0;1;0;0;4;2;1;1;7;3
"eficácia";0;0;1;0;0;0;0;0;0;5;15
"frente";0;0;3;1;0;1;2;3;5;9;4
"propósito";0;0;1;0;0;1;1;0;3;7;2
"recente";0;0;1;1;1;3;3;2;5;4;3
"democracia";0;0;2;0;0;1;0;0;3;5;2
"luz";0;0;1;0;0;1;1;3;3;9;8
"estimulante";0;0;1;0;0;0;0;0;0;10;1
"transformar";0;0;1;0;0;4;1;4;2;16;9
"algo";0;0;1;1;0;2;1;1;1;19;5
"lançar";0;0;1;0;0;1;0;1;2;3;3
"letra";0;0;1;0;1;2;0;0;5;12;2
"historiográfico";0;0;1;0;0;0;0;1;1;6;3
"fator";0;0;1;1;1;3;0;3;2;18;5
"interferir";0;0;1;0;1;1;0;1;4;2;2
"dinâmica";0;0;1;0;0;6;0;0;2;12;5
"metodológico";0;0;1;2;6;14;10;7;8;22;6
"discursivo";0;0;1;0;1;0;1;1;2;10;6
"problemático";0;0;1;0;0;1;0;1;2;16;1
"traçar";0;0;1;1;1;1;4;1;2;1;1
"morte";0;0;1;0;0;0;2;0;0;6;2
"personagem";0;0;1;1;0;0;1;1;1;22;3
"isto";0;0;1;1;0;0;0;2;3;8;2
"vincular";0;0;1;2;2;2;1;1;4;3;0
"diagnóstico";0;0;1;0;0;0;0;2;6;2;2
"ponto";0;0;1;1;4;4;2;1;6;12;5
"partida";0;0;1;0;0;0;0;3;3;3;1
"autonomia";0;0;1;1;0;1;1;0;2;4;3
"leitor";0;0;1;0;1;0;3;6;4;13;0
"publicar";0;0;2;2;3;3;6;7;5;15;9
"2017";0;0;1;0;1;1;13;0;3;8;5
"encontro";0;0;1;0;0;2;1;3;2;5;0
"biblioteconomia";0;0;2;3;3;2;7;0;0;0;0
"edição";0;0;2;0;0;5;9;0;7;3;2
"fotografia";0;0;1;0;14;0;1;0;0;4;0
"pilar";0;0;1;0;1;1;0;0;0;12;3
"web";0;0;2;4;9;14;2;5;4;5;2
"temático";0;0;2;0;0;5;6;4;3;8;1
"biblioteca";0;0;2;16;3;0;4;6;9;8;1
"rio";0;0;1;1;0;0;5;2;4;12;1
"carvalho";0;0;3;0;0;0;1;1;3;8;0
"rodrigues";0;0;2;0;0;1;0;1;2;32;0
"conceição";0;0;1;0;0;0;0;0;1;8;0
"apoio";0;0;1;0;1;0;5;6;1;7;4
"gomes";0;0;1;0;0;0;0;0;1;8;1
"europeana";0;0;1;8;3;0;0;0;0;0;0
"data";0;0;1;4;3;1;5;0;1;5;3
"aplicado";0;0;1;1;1;3;3;1;1;5;6
"josé";0;0;1;1;0;0;1;1;2;9;2
"referente";0;0;1;0;1;4;1;0;4;13;3
"the";0;0;1;2;0;0;2;8;0;3;3
"2016";0;0;1;1;2;6;2;4;2;5;5
"nação";0;0;1;0;0;0;1;3;1;3;1
"unesco";0;0;1;0;0;1;0;1;0;17;3
"manutenção";0;0;2;0;0;1;1;2;1;3;3
"edificação";0;0;7;0;0;0;0;0;1;2;0
"igreja";0;0;8;0;0;0;0;0;0;4;0
"dano";0;0;9;0;0;2;1;1;2;10;1
"dividir";0;0;1;0;1;0;0;1;2;4;2
"etapa";0;0;10;0;1;1;4;1;4;5;4
"crucial";0;0;1;2;0;0;2;0;0;6;6
"entendimento";0;0;1;1;2;2;0;1;2;3;3
"quase";0;0;1;0;0;0;2;0;4;3;1
"mão";0;0;1;0;0;0;2;1;2;8;1
"livre";0;0;1;1;0;3;2;1;3;0;0
"terceiro";0;0;1;0;0;0;3;1;3;2;1
"adoção";0;0;1;1;0;0;2;0;1;11;9
"adotado";0;0;1;0;0;0;0;0;1;11;3
"recuperação";0;0;1;0;7;0;4;0;5;2;2
"estrutural";0;0;1;0;0;2;1;1;4;3;4
"manifestação";0;0;2;2;1;7;0;2;1;1;2
"objetivar";0;0;1;0;2;1;1;1;2;3;3
"fase";0;0;1;1;2;0;0;0;2;20;3
"2009";0;0;1;0;0;3;4;4;5;10;7
"visualização";0;0;1;0;3;0;5;0;5;1;0
"visão";0;0;1;3;0;1;4;1;1;22;12
"medida";0;0;1;0;0;3;3;2;5;5;7
"perceber";0;0;1;1;0;1;6;3;5;17;2
"consequentemente";0;0;1;0;2;3;0;1;3;4;5
"constantemente";0;0;1;0;0;0;0;0;0;9;0
"divulgar";0;0;1;3;1;1;2;3;1;3;1
"nível";0;0;1;2;1;0;4;2;4;14;9
"descritivo";0;0;1;1;4;1;2;2;7;21;6
"bibliografia";0;0;1;0;1;0;0;5;4;10;1
"profissional";0;0;1;2;3;5;10;3;13;37;19
"google";0;0;1;0;1;1;0;1;7;14;8
"consciente";0;0;1;0;0;0;2;0;0;13;2
"divulgação";0;0;1;4;1;4;3;7;9;8;3
"resposta";0;0;0;1;1;1;1;3;3;10;8
"emergência";0;0;0;1;3;1;0;0;2;12;3
"aproximar";0;0;0;1;1;2;0;0;0;4;2
"diálogo";0;0;0;4;2;5;2;4;6;20;4
"aprendizado";0;0;0;2;0;2;3;1;7;35;12
"incorporar";0;0;0;1;0;2;0;2;0;5;6
"currículo";0;0;0;1;0;0;1;2;3;12;12
"ensinar";0;0;0;1;0;2;2;1;7;25;2
"escrever";0;0;0;1;0;1;3;4;4;38;1
"domínio";0;0;0;1;3;2;1;3;4;4;6
"descrever";0;0;0;3;9;13;1;1;2;8;6
"turma";0;0;0;1;0;0;0;2;2;13;2
"digitalizar";0;0;0;1;1;1;3;3;0;6;0
"referência";0;0;0;1;1;6;0;4;5;20;5
"conter";0;0;0;1;6;0;1;1;5;5;1
"auxílio";0;0;0;1;0;0;0;0;1;14;1
"demanda";0;0;0;2;1;7;1;3;1;8;7
"relevância";0;0;0;2;1;2;5;2;8;9;11
"geográfico";0;0;0;3;0;1;1;0;1;8;5
"aliado";0;0;0;1;0;3;0;0;3;10;3
"regional";0;0;0;2;0;0;2;0;1;5;0
"adaptação";0;0;0;2;0;3;1;3;1;26;12
"edm";0;0;0;5;5;0;0;0;0;0;0
"terra";0;0;0;2;4;3;1;3;5;0;1
"mina";0;0;0;2;1;2;1;2;1;2;1
"negro";0;0;0;1;0;1;0;0;0;12;2
"bahia";0;0;0;1;1;2;0;0;3;6;2
"conflito";0;0;0;3;0;0;0;1;5;6;3
"conceituação";0;0;0;2;0;0;0;0;1;8;0
"norte";0;0;0;2;0;1;0;4;0;4;3
"central";0;0;0;1;1;0;2;2;2;14;8
"definir";0;0;0;1;2;1;1;1;2;9;6
"implicar";0;0;0;2;1;2;3;1;1;4;2
"integrar";0;0;0;5;0;2;7;6;5;3;19
"contra";0;0;0;1;0;1;1;2;7;7;3
"próximo";0;0;0;1;0;0;2;3;2;3;0
"classificação";0;0;0;1;0;0;5;1;1;2;0
"associar";0;0;0;3;0;2;2;2;1;6;5
"aplicar";0;0;0;2;1;2;3;3;4;21;7
"inovador";0;0;0;2;0;0;0;3;5;17;21
"único";0;0;0;1;0;2;1;0;1;1;7
"basear";0;0;0;2;1;6;3;0;8;5;6
"narrativo";0;0;0;4;0;2;3;3;8;14;4
"qualidade";0;0;0;2;2;4;5;3;11;30;19
"ver";0;0;0;3;3;4;7;5;7;24;7
